PassengerId,Survived,Age,SibSp,Parch,Fare,2,3,male,Q,S,Miss,Mr,Mrs
1,0,22.0,1,0,7.25,False,True,True,False,True,False,True,False
3,1,26.0,0,0,7.925,False,True,False,False,True,True,False,False
5,0,35.0,0,0,8.05,False,True,True,False,True,False,True,False
6,0,26.0,0,0,8.4583,False,True,True,True,False,False,True,False
8,0,2.0,3,1,21.075,False,True,True,False,True,False,False,False
9,1,27.0,0,2,11.1333,False,True,False,False,True,False,False,True
10,1,14.0,1,0,30.0708,True,False,False,False,False,False,False,True
13,0,20.0,0,0,8.05,False,True,True,False,True,False,True,False
14,0,39.0,1,5,31.275,False,True,True,False,True,False,True,False
15,0,14.0,0,0,7.8542,False,True,False,False,True,True,False,False
16,1,55.0,0,0,16.0,True,False,False,False,True,False,False,True
17,0,2.0,4,1,29.125,False,True,True,True,False,False,False,False
18,1,26.0,0,0,13.0,True,False,True,False,True,False,True,False
19,0,31.0,1,0,18.0,False,True,False,False,True,False,False,True
20,1,26.0,0,0,7.225,False,True,False,False,False,False,False,True
21,0,35.0,0,0,26.0,True,False,True,False,True,False,True,False
23,1,15.0,0,0,8.0292,False,True,False,True,False,True,False,False
25,0,8.0,3,1,21.075,False,True,False,False,True,True,False,False
26,1,38.0,1,5,31.3875,False,True,False,False,True,False,False,True
27,0,26.0,0,0,7.225,False,True,True,False,False,False,True,False
29,1,26.0,0,0,7.8792,False,True,False,True,False,True,False,False
30,0,26.0,0,0,7.8958,False,True,True,False,True,False,True,False
31,0,40.0,0,0,27.7208,False,False,True,False,False,False,True,False
32,1,26.0,1,0,146.5208,False,False,False,False,False,False,False,True
33,1,26.0,0,0,7.75,False,True,False,True,False,True,False,False
34,0,66.0,0,0,10.5,True,False,True,False,True,False,True,False
35,0,28.0,1,0,82.1708,False,False,True,False,False,False,True,False
36,0,42.0,1,0,52.0,False,False,True,False,True,False,True,False
37,1,26.0,0,0,7.2292,False,True,True,False,False,False,True,False
38,0,21.0,0,0,8.05,False,True,True,False,True,False,True,False
39,0,18.0,2,0,18.0,False,True,False,False,True,True,False,False
40,1,14.0,1,0,11.2417,False,True,False,False,False,True,False,False
41,0,40.0,1,0,9.475,False,True,False,False,True,False,False,True
42,0,27.0,1,0,21.0,True,False,False,False,True,False,False,True
43,0,26.0,0,0,7.8958,False,True,True,False,False,False,True,False
44,1,3.0,1,2,41.5792,True,False,False,False,False,True,False,False
45,1,19.0,0,0,7.8792,False,True,False,True,False,True,False,False
46,0,26.0,0,0,8.05,False,True,True,False,True,False,True,False
47,0,26.0,1,0,15.5,False,True,True,True,False,False,True,False
48,1,26.0,0,0,7.75,False,True,False,True,False,True,False,False
